"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Toyota","Avalon Touring",0.84,0.219925907631514,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.00525052988008806
"Porsche","Cayenne Platinum Edition",0.86,0.180150654482588,"Gasoline","300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",0.00982018459508083
"Mercedes-Benz","AMG C 63 S",0.86,0.147937762410472,"Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",0.0171065650931901
"Honda","CR-V EX-L",0.84,0.181400345764386,"Gasoline","2.4L I4 16V GDI DOHC","Automatic CVT","Mountain Air Metallic","Black","At least 1 accident or damage reported","",0.00638464433418708
"Hummer","H2 Base",0.62,0.27364781427513,"Gasoline","325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",0.00592801760655103
"Porsche","911 Carrera S",0.78,0.0960731044702396,"Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Blue","Black","None reported","Yes",0.0240508142894356
"Mercedes-Benz","CLA-Class CLA 250",0.84,0.296122499382564,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.00602964076552048
"Chrysler","300 Touring",0.7,0.332185724870338,"Gasoline","250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",0.00186309124777318
"Nissan","Rogue SV",0.98,0.00245492714250432,"Gasoline","1.5L I3 12V GDI DOHC Turbo","Automatic CVT","Caspian Blue","Light Gray","None reported","",0.00982323328984991
"Audi","A3 2.0T",0.72,0.205976784391208,"Gasoline","200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",0.00152434738454169
"Ford","Mustang GT Premium",0.8,0.0912817979748086,"Gasoline","420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",0.00897671237563442
"Acura","RL Technology",0.72,0.241047172141269,"Gasoline","300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",0.00304700104976723
"Volvo","XC90 Hybrid T8 R-Design",0.88,0.0985428500864411,"Plug-In Hybrid","400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0135497545292595
"Audi","R8 5.2 V10",0.88,0.0218325512472215,"Gasoline","5.2L V10 40V PDI DOHC","7-Speed Automatic with Auto-Shift","Tango Red Metallic","Black","None reported","",0.0484064980557796
"Mercedes-Benz","GLK-Class GLK 350",0.8,0.459125710051865,"Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Beige","At least 1 accident or damage reported","Yes",0.0027099509058519
"Toyota","C-HR LE",0.94,0.032304272659916,"Gasoline","2.0 Liter","CVT-F","–","–","None reported","",0.00745168750336627
"Lexus","IS 350 Base",0.8,0.256606569523339,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.00643613340139827
"BMW","X4 M40i",0.98,0.0207458631760929,"Hybrid","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","Transmission w/Dual Shift Mode","Gray","Beige","None reported","Yes",0.022323220586955
"BMW","M4 CS",0.9,0.0468486045937268,"Gasoline","3.0 Liter DOHC Turbo","Automatic","Alpine White","Anthracite","None reported","",0.0230339052120147
"Cadillac","CT5 Premium Luxury",0.98,0.0147937762410472,"Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",0.0152095994590938
"Lucid","Air Grand Touring",0.96,0.0118547789577673,"","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Black","None reported","Yes",0.0328581547334543
"Audi","A5 2.0T Premium Plus",0.9,0.117122746357125,"Gasoline","248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.00982357203371314
"Chrysler","300C SRT8",0.64,0.105952086935046,"Gasoline","425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",0.00609569581885062
"Bentley","Continental GT W12",0.86,0.0360187700666831,"Gasoline","582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","None reported","Yes",0.0433592144936304
"BMW","M4 Base",0.9,0.142504322054828,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Red","None reported","Yes",0.0182918298706371
"Toyota","GR Corolla Circuit Edition",0.98,0.0021042232650037,"Gasoline","300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Gray","None reported","Yes",0.0162427682419498
"Audi","RS 5 2.9T",0.9,0.0522104223265004,"Gasoline","444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.0196302068742647
"Porsche","Cayenne Base",0.9,0.146302790812546,"Gasoline","335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.013718787717012
"Lamborghini","Huracan Tecnica Coupe",0.98,0.000382810570511237,"Gasoline","5.2L V-10 gasoline direct injection, DOHC, variable valve contro","Automatic","BLU ELEOS","Nero Ade","None reported","",0.121267254342104
"Maserati","Quattroporte S",0.9,0.0571252161027414,"Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.0145656473750907
"Jaguar","XF 35t R-Sport",0.86,0.118300815016053,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Black","At least 1 accident or damage reported","Yes",0.00948482817048166
"Lexus","ES 330 Base",0.62,0.101158310693999,"Gasoline","225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Beige","None reported","Yes",0.00308256915540654
"Land","Rover Discovery Sport SE R-Dynamic",0.92,0.0522104223265004,"Gasoline","2.0 Liter","Automatic","White","Black","None reported","",0.0121941015886071
"Porsche","Cayman GTS",0.82,0.0281551000246975,"Gasoline","340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","–","None reported","Yes",0.0237120704262041
"Genesis","G90 3.3T Premium",0.94,0.0243269943195851,"Gasoline","365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Blue","None reported","Yes",0.0175977436948758
"Volkswagen","Golf R 20th Anniversary Edition",0.98,0.00131637441343542,"Gasoline","315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",0.0155818789647852
"Hyundai","Sonata Hybrid Limited",0.82,0.162756236107681,"Hybrid","199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00470853969891768
"Audi","RS 7 4.0T Prestige",0.8,0.147233884909854,"Gasoline","560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","At least 1 accident or damage reported","Yes",0.014565986118954
"BMW","740 Li",0.76,0.210303778710793,"Gasoline","326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00558927374331955
"Mercedes-Benz","GLS 450 Base 4MATIC",0.92,0.0439614719683873,"Hybrid","362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.026422021332056
"BMW","M6 Base",0.84,0.0627315386515189,"Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",0.0179534247512688
"Subaru","Forester 2.5 X",0.6,0.520135836008891,"Gasoline","165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","M/T","Green","Beige","","",0.000101623158969446
"Hyundai","Elantra N Base",0.98,0.00913805877994567,"Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",0.0108398036234076
"Kia","Niro Plug-In Hybrid EX Premium",0.96,0.0901506544825883,"Hybrid","1.6L I4 16V GDI DOHC Hybrid","6-Speed Automatic with Auto-Shift","Horizon Blue","Charcoal","None reported","Yes",0.0101606221776285
"Rivian","R1S Adventure Package",0.98,0.00666831316374413,"","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Green","None reported","Yes",0.0304869476908339
"Aston","Martin DBS Superleggera",0.94,0.00510002469745616,"Gasoline","5.2L V12 48V GDI DOHC Twin Turbo","8-Speed Automatic","Black","Black","None reported","Yes",0.094153856785192
"Mercedes-Benz","SLC 300 Base",0.88,0.0812546307730304,"Gasoline","241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",0.00945095378415851
"BMW","435 Gran Coupe i",0.84,0.187475919980242,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","None reported","Yes",0.00777417166116264
"Jeep","Grand Cherokee Summit",0.92,0.0771770807606817,"Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Granite Crystal Clearcoat Metallic","Black","None reported","",0.0126575031935078
"Lexus","RC 350 Base",0.82,0.118300815016053,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Orange","Red","None reported","Yes",0.010467185373853
"BMW","525 i",0.62,0.225537169671524,"Gasoline","215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00233733265629727
"Toyota","Corolla LE",0.58,0.307868609533218,"Gasoline","130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","M/T","Beige","Beige","At least 1 accident or damage reported","Yes",0.00101453787037831
"Cadillac","CT5-V Blackwing",0.98,0.00571746110150654,"Gasoline","6.2L V8 16V GDI OHV Supercharged","10-Speed Automatic","Rift Metallic","Gray","None reported","",0.0348567435265201
"GMC","Acadia SLT-1",0.76,0.286801679427019,"Gasoline","288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00199858879306578
"Lexus","LC 500 Base",0.92,0.0932798221783156,"Gasoline","5.0L V8 32V PDI DOHC","10-Speed Automatic","Atomic Silver","Rioja Red","None reported","",0.0250501086859685
"BMW","i8 Base",0.9,0.102247468510743,"Plug-In Hybrid","369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",0.028454484511445
"Lexus","ES 300h Base",0.78,0.214623363793529,"Hybrid","200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Gold","Beige","None reported","Yes",0.00541820809238765
"Cadillac","CT5-V V-Series",0.96,0.0107458631760929,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","Automatic","Summit White","Jet Black","At least 1 accident or damage reported","Yes",0.0181753019816855
"BMW","540 i xDrive",0.92,0.066826376883181,"Gasoline","2.0 Liter Turbo","Automatic","Imperial Blue Metallic","Canberra Beige/Black","None reported","",0.0128715893150701
"Chevrolet","Express 1500 Work Van",0.8,0.345033341565819,"Gasoline","195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.0042342982903936
"Jeep","Gladiator Rubicon",0.96,0.0671770807606817,"Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Green","Black","None reported","Yes",0.0154128457770327
"BMW","Z4 sDrive28i",0.8,0.0906693010619906,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",0.00846859658078719
"Land","Rover LR4 HSE LUX Landmark Edition",0.84,0.3553963941714,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.0054199018117038
"Cadillac","XT4 Sport",0.9,0.109656705359348,"Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","White","None reported","Yes",0.00911220992092702
"BMW","750 750i xDrive",0.94,0.026715238330452,"Gasoline","4.4 Liter Twin Turbo","Automatic","Black","Black","None reported","",0.0243888806649407
"Bentley","Arnage R",0.62,0.020330945912571,"Gasoline","400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","White","Beige","None reported","Yes",0.015362034197548
"Lincoln","Aviator Reserve AWD",0.92,0.12632007903186,"Gasoline","3.0 Liter GTDI","Automatic","Magnetic Gray Clearcoat","Roast","None reported","",0.0154799170619525
"Mercedes-Benz","AMG GL AMG GL 63 4MATIC",0.84,0.170165472956286,"Gasoline","550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",0.0116866632814863
"RAM","ProMaster 3500 High Roof",0.94,0.364865398863917,"Gasoline","3.6L V6 24V MPFI DOHC","6-Speed Automatic","Bright White Clearcoat","Black","None reported","Yes",0.0103865643344039
"Ford","Utility Police Interceptor Base",0.78,0.259076315139541,"E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","A/T","White","Black","At least 1 accident or damage reported","Yes",0.00155822177086484
"Audi","A5 2.0T Premium",0.74,0.22747098048901,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",0.00270825718653574
"Nissan","GT-R Premium",0.72,0.0382810570511237,"Gasoline","485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",0.0228652107681254
"Land","Rover Range Rover Sport 3.0L Supercharged HSE",0.88,0.25833539145468,"Gasoline","V6","Automatic","Fuji White","Ivory / Ebony","At least 1 accident or damage reported","",0.00974735466448606
"Toyota","Corolla LE",0.72,0.178434181279328,"Gasoline","132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Gray","At least 1 accident or damage reported","Yes",0.00270825718653574
"Rivian","R1S Adventure Package",0.98,0.00592738947888367,"","835.0HP Electric Motor Electric Fuel System","A/T","Green","White","None reported","Yes",0.0311644354172969
"Mercedes-Benz","C-Class C300 4MATIC",0.96,0.0322968634230674,"Gasoline","2.0 Liter Turbo","Automatic","White","Silk Beige/Black","None reported","",0.0144975598585812
"Porsche","Cayenne E-Hybrid S",0.84,0.236848604593727,"Plug-In Hybrid","416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Red","At least 1 accident or damage reported","Yes",0.00711362112786124
"Chevrolet","Express 1500 Work Van",0.74,0.229461595455668,"E85 Flex Fuel","5.3L V8 16V MPFI OHV Flexible Fuel","4-Speed Automatic","Summit White","Medium Pewter","None reported","Yes",0.00694255547692934
"INFINITI","Q70h Base",0.84,0.130032106693011,"Hybrid","360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",0.00914540681952371
"Audi","A7 Premium Plus",0.92,0.0623882440108669,"Hybrid","3.0 Liter Turbo","Automatic","Typhoon Gray","Black","None reported","",0.0162590279473849
"Audi","Q7 3.0T Premium Plus",0.82,0.243089651765868,"Gasoline","280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","","",0.00270825718653574
"Lucid","Air Pure",0.98,0.00296369473944184,"","620.0HP Electric Motor Electric Fuel System","A/T","Black","Gray","","",0.0287593539883533
"Chrysler","Pacifica Touring",0.86,0.215374166460855,"–","–","9-Speed A/T","Silver","Black","None reported","Yes",0.00237120704262041
"Audi","TTS 2.0T Premium Plus",0.76,0.179851815263028,"Gasoline","265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","","",0.00812951397369247
"BMW","650 Gran Coupe i xDrive",0.82,0.101012595702643,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.00948482817048166
"Subaru","Forester Premium",0.94,0.103791059520869,"Gasoline","2.5L H4 16V GDI DOHC","Automatic CVT","Crystal Black Silica","Black","None reported","Yes",0.0087731273138323
"Mercedes-Benz","AMG C AMG C 63",0.84,0.152877253642875,"Gasoline","469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0128722668027965
"Land","Rover LR3 HSE",0.64,0.379706100271672,"Gasoline","300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Beige","At least 1 accident or damage reported","Yes",0.00269301371269033
"BMW","X7 xDrive40i",0.9,0.0868066189182514,"Gasoline","3.0 Liter Twin Turbo","Automatic","Arctic Gray Metallic","Black","None reported","",0.0176140034003109
"Ford","Transit Connect XLT",0.82,0.480004939491232,"Gasoline","169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",0.00267201159316998
"Lexus","LX 570 Three-Row",0.94,0.051617683378612,"Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",0.0298091212205077
"Porsche","911 Carrera S",0.78,0.045428500864411,"Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed M/T","Black","Black","","",0.0287593539883533
"Dodge","Ram 2500 Laramie Quad Cab",0.64,0.538157569770314,"Gasoline","330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Gray","None reported","Yes",0.00372279505691405
"Nissan","Armada SL",0.94,0.167201778216844,"Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",0.0116866632814863
"Porsche","Cayman Base",0.8,0.194862929118301,"Gasoline","275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","At least 1 accident or damage reported","Yes",0.0138881596486278
